Origin ZIP,Origin Neighborhood,Destination ZIP,Destination Neighborhood,Mode,Distance (mi),Duration (min)
11201,"Brooklyn Heights, DUMBO",11234,"Marine Park, Mill Basin",driving,22.7,36
11201,"Brooklyn Heights, DUMBO",11234,"Marine Park, Mill Basin",bicycling,12.2,68
11201,"Brooklyn Heights, DUMBO",11235,"Brighton Beach, Manhattan Beach",driving,15.8,30
11201,"Brooklyn Heights, DUMBO",11235,"Brighton Beach, Manhattan Beach",bicycling,9.4,55
11201,"Brooklyn Heights, DUMBO",11236,"Canarsie, Bergen Beach",driving,20.8,36
11201,"Brooklyn Heights, DUMBO",11236,"Canarsie, Bergen Beach",bicycling,8.1,48
11201,"Brooklyn Heights, DUMBO",11238,"Prospect Heights, Clinton Hill",driving,2.0,12
11201,"Brooklyn Heights, DUMBO",11238,"Prospect Heights, Clinton Hill",bicycling,2.5,17
11201,"Brooklyn Heights, DUMBO",11239,Starrett City,driving,22.4,37
11201,"Brooklyn Heights, DUMBO",11239,Starrett City,bicycling,8.8,51
11203,"East Flatbush, Erasmus",11201,"Brooklyn Heights, DUMBO",driving,8.4,38
11203,"East Flatbush, Erasmus",11201,"Brooklyn Heights, DUMBO",bicycling,5.7,35
11203,"East Flatbush, Erasmus",11204,"Bensonhurst, Mapleton",driving,4.7,27
11203,"East Flatbush, Erasmus",11204,"Bensonhurst, Mapleton",bicycling,4.3,26
11203,"East Flatbush, Erasmus",11205,"Fort Greene, Clinton Hill",driving,4.3,22
11203,"East Flatbush, Erasmus",11205,"Fort Greene, Clinton Hill",bicycling,4.0,24
11203,"East Flatbush, Erasmus",11206,"Williamsburg, Bushwick",driving,4.3,26
11203,"East Flatbush, Erasmus",11206,"Williamsburg, Bushwick",bicycling,4.4,27
11203,"East Flatbush, Erasmus",11207,"East New York, Cypress Hills",driving,3.0,18
11203,"East Flatbush, Erasmus",11207,"East New York, Cypress Hills",bicycling,2.7,15
11203,"East Flatbush, Erasmus",11208,"Cypress Hills, East New York",driving,4.4,25
11203,"East Flatbush, Erasmus",11208,"Cypress Hills, East New York",bicycling,4.3,24
11203,"East Flatbush, Erasmus",11209,Bay Ridge,driving,8.8,34
11203,"East Flatbush, Erasmus",11209,Bay Ridge,bicycling,7.4,45
11203,"East Flatbush, Erasmus",11210,"Flatbush, Midwood",driving,2.3,12
11203,"East Flatbush, Erasmus",11210,"Flatbush, Midwood",bicycling,2.3,14
11203,"East Flatbush, Erasmus",11211,Williamsburg,driving,5.7,28
11203,"East Flatbush, Erasmus",11211,Williamsburg,bicycling,5.0,31
11203,"East Flatbush, Erasmus",11212,Brownsville,driving,1.7,12
11203,"East Flatbush, Erasmus",11212,Brownsville,bicycling,1.8,10
11203,"East Flatbush, Erasmus",11213,Crown Heights,driving,2.5,13
11203,"East Flatbush, Erasmus",11213,Crown Heights,bicycling,2.2,13
11203,"East Flatbush, Erasmus",11214,"Bensonhurst, Bath Beach",driving,5.7,34
11203,"East Flatbush, Erasmus",11214,"Bensonhurst, Bath Beach",bicycling,5.5,32
11203,"East Flatbush, Erasmus",11215,"Park Slope, Gowanus",driving,4.3,25
11203,"East Flatbush, Erasmus",11215,"Park Slope, Gowanus",bicycling,4.3,25
11203,"East Flatbush, Erasmus",11216,"Bedford-Stuyvesant, Crown Heights",driving,3.2,18
11203,"East Flatbush, Erasmus",11216,"Bedford-Stuyvesant, Crown Heights",bicycling,3.0,18
11203,"East Flatbush, Erasmus",11217,"Park Slope, Boerum Hill",driving,4.5,24
11203,"East Flatbush, Erasmus",11217,"Park Slope, Boerum Hill",bicycling,4.3,26
11203,"East Flatbush, Erasmus",11218,"Windsor Terrace, Kensington",driving,2.9,20
11203,"East Flatbush, Erasmus",11218,"Windsor Terrace, Kensington",bicycling,3.1,19
11203,"East Flatbush, Erasmus",11219,Borough Park,driving,4.6,30
11203,"East Flatbush, Erasmus",11219,Borough Park,bicycling,4.7,28
11203,"East Flatbush, Erasmus",11220,"Sunset Park, Greenwood",driving,7.3,30
11203,"East Flatbush, Erasmus",11220,"Sunset Park, Greenwood",bicycling,6.5,39
11203,"East Flatbush, Erasmus",11221,"Bedford-Stuyvesant, Bushwick",driving,3.3,23
11203,"East Flatbush, Erasmus",11221,"Bedford-Stuyvesant, Bushwick",bicycling,3.9,24
11203,"East Flatbush, Erasmus",11222,Greenpoint,driving,7.6,35
11203,"East Flatbush, Erasmus",11222,Greenpoint,bicycling,6.1,36
11203,"East Flatbush, Erasmus",11223,"Gravesend, Homecrest",driving,5.7,31
11203,"East Flatbush, Erasmus",11223,"Gravesend, Homecrest",bicycling,6.0,36
11203,"East Flatbush, Erasmus",11224,Coney Island,driving,10.0,31
11203,"East Flatbush, Erasmus",11224,Coney Island,bicycling,7.9,48
11203,"East Flatbush, Erasmus",11225,"Prospect Lefferts Gardens, Wingate",driving,2.2,13
